adapter,adapter_score,p_value,flagged,per_layer_flag_rate,threshold_95
Benign,1.2240069953515704,0.4752,False,0.05357142857142857,1.3388598470702067
Plain-LoRA,1.9807876277316123,0.0,True,0.30357142857142855,1.3388598470702067
SubLoRA,3.807881616235636,0.0,True,0.6607142857142857,1.3388598470702067
