adapter,mean_frobenius,mean_spectral_entropy,frob_wilcoxon_W,frob_wilcoxon_p,frob_mannwhitney_U,frob_mannwhitney_p,frob_cohens_d_paired,frob_cliffs_delta,spectral_entropy_wilcoxon_W,spectral_entropy_wilcoxon_p,mean_KL,mean_JS,pooled_KS_D,pooled_KS_p
Plain-LoRA,0.46830981890005724,2.4296481577413425,0.0,4.096357955947718e-20,3147.0,1.1743586947427212e-10,-2.087846885821698,-0.49824617346938777,486.0,7.570065896079745e-15,0.13858363521998884,0.03887019909764005,0.10244248189082761,0.0
SubLoRA,0.4244848104592945,2.1062170852507864,919.0,7.147856728513871e-11,4324.0,5.927531208124394e-05,-0.7000049206543897,-0.31058673469387754,20.0,7.014252774977992e-20,0.16932939755493764,0.04444357543629624,0.05109634529165663,0.0
